timestamp,dataset,model,model_type,run_type,metric,transform,transform_param,score
20241028_121623,bigearthnet,mobilenet,cnn,NT,test_mAP_macro,bilateral,5,0.5521605610847473
20241028_150630,caltech,pit,transformer,NT,test_accuracy_macro,patch_shuffle,11,0.10844813287258148
20241028_144847,caltech,cait,transformer,NT,test_accuracy_macro,median,9,0.45110711455345154
20241028_151234,caltech,beit,transformer,NT,test_accuracy_macro,gaussian,5.0,0.45564717054367065
20241028_122925,rgb_bigearthnet,mobilenet,cnn,NT,test_mAP_macro,channel_shuffle,6,0.35721659660339355
20241028_122330,deepglobe,cait,transformer,NT,test_mAP_macro,median,31,0.2290624976158142
20241028_144032,imagenet,inception,cnn,PT,test_accuracy_macro,patch_shuffle,4,0.17270857095718384
20241028_135605,rgb_bigearthnet,deit,transformer,NT,test_mAP_macro,channel_shuffle,3,0.36156797409057617
20241028_143054,caltech,vit,transformer,NT,test_accuracy_macro,patch_shuffle,8,0.38334834575653076
20241028_175744,imagenet,pit,transformer,PT,test_accuracy_macro,channel_shuffle,2,0.5026410818099976
20241028_154934,caltech_120,convnext,cnn,NT,test_accuracy_macro,bilateral,15,0.5200036764144897
20241028_135546,rgb_bigearthnet,deit,transformer,NT,test_mAP_macro,channel_shuffle,2,0.36567142605781555
20241028_131801,caltech,resnet,cnn,NT,test_accuracy_macro,bilateral,3,0.6105218529701233
20241028_110547,imagenet,efficientnet,cnn,PT,test_accuracy_macro,channel_shuffle,3,0.6445009112358093
20241028_122525,bigearthnet,mobilenet,cnn,NT,test_mAP_macro,patch_shuffle,2,0.6150841116905212
20241028_110554,rgb_bigearthnet,convnext,cnn,NT,test_mAP_macro,patch_shuffle,1,0.5759619474411011
20241028_173418,imagenet,pvt,transformer,PT,test_accuracy_macro,channel_shuffle,12,0.7179287075996399
20241028_141634,rgb_bigearthnet,cait,transformer,NT,test_mAP_macro,gaussian,5.0,0.4649788737297058
20241028_160225,caltech_120,densenet,cnn,NT,test_accuracy_macro,median,3,0.7252076864242554
20241028_130552,deepglobe,convmixer,transformer,NT,test_mAP_macro,median,31,0.2290624976158142
20241028_182650,imagenet,beit,transformer,PT,test_accuracy_macro,channel_inversion,0,0.17551332712173462
20241028_150522,caltech,pit,transformer,NT,test_accuracy_macro,gaussian,9.0,0.5414250493049622
20241028_150530,caltech,pit,transformer,NT,test_accuracy_macro,gaussian,15.0,0.4967051148414612
20241028_133403,caltech,convnext,cnn,NT,test_accuracy_macro,median,31,0.5074241757392883
20241028_102937,deepglobe,resnet,cnn,NT,test_mAP_macro,channel_inversion,12,0.3319748640060425
20241028_182515,imagenet,beit,transformer,PT,test_accuracy_macro,channel_shuffle,3,0.10646238178014755
20241028_110048,deepglobe,densenet,cnn,NT,test_mAP_macro,bilateral,9,0.24525849521160126
20241028_110311,bigearthnet,convnext,cnn,NT,test_mAP_macro,median,15,0.5906693339347839
20241028_120547,deepglobe,vit,transformer,NT,test_mAP_macro,patch_shuffle,4,0.6485764980316162
20241028_163300,caltech_120,regnety,cnn,NT,test_accuracy_macro,median,0,0.5188874006271362
20241028_113327,bigearthnet,regnet,cnn,NT,test_mAP_macro,channel_shuffle,12,0.22211824357509613
20241028_114959,bigearthnet,densenet,cnn,NT,test_mAP_macro,patch_rotation,2,0.6416828632354736
20241008_163507,bigearthnet,rgb,cnn,resnet,test_mAP_macro,ST,674687,0.6558239459991455
20241028_105218,deepglobe,regnet,cnn,NT,test_mAP_macro,median,3,0.23182496428489685
20241028_142630,caltech,regnety,cnn,NT,test_accuracy_macro,channel_inversion,0,0.5155662298202515
20241028_165539,caltech_120,cait,transformer,NT,test_accuracy_macro,channel_inversion,1,0.053916070610284805
20241028_104854,deepglobe,convnext,cnn,NT,test_mAP_macro,channel_inversion,0,0.6297279000282288
20241028_122847,bigearthnet,mobilenet,cnn,NT,test_mAP_macro,patch_rotation,11,0.5880711674690247
20241028_140609,caltech,mobilenet,cnn,NT,test_accuracy_macro,channel_shuffle,3,0.37379586696624756
20241028_104653,deepglobe,convnext,cnn,NT,test_mAP_macro,patch_rotation,2,0.6236265301704407
20241028_121342,bigearthnet,resnext,cnn,NT,test_mAP_macro,channel_inversion,2,0.28571492433547974
20241004_141248,caltech,xception,cnn,PT,test_accuracy_macro,None,None,0.016725564375519753
20241028_112145,deepglobe,resnext,cnn,NT,test_mAP_macro,channel_inversion,12,0.21917478740215302
20241028_131450,deepglobe,convmixer,transformer,NT,test_mAP_macro,channel_inversion,6,0.2290624976158142
20241028_102641,imagenet,resnet,cnn,PT,test_accuracy_macro,gaussian,1.0,0.7552515268325806
20241028_102845,deepglobe,resnet,cnn,NT,test_mAP_macro,channel_inversion,0,0.690414547920227
20241028_113806,bigearthnet,densenet,cnn,NT,test_mAP_macro,bilateral,15,0.4389772415161133
20241028_115806,deepglobe,regnety,cnn,NT,test_mAP_macro,patch_rotation,4,0.6791912913322449
20241028_141112,rgb_bigearthnet,cait,transformer,NT,test_mAP_macro,bilateral,15,0.4469117820262909
20241028_130323,deepglobe,convmixer,transformer,NT,test_mAP_macro,bilateral,9,0.22693006694316864
20241028_134217,caltech,regnet,cnn,NT,test_accuracy_macro,patch_shuffle,1,0.5395941138267517
20241028_163057,caltech_120,inception,cnn,NT,test_accuracy_macro,channel_shuffle,6,0.313751757144928
20241028_114528,imagenet,convnext,cnn,PT,test_accuracy_macro,channel_inversion,6,0.8440067768096924
20241028_131402,deepglobe,convmixer,transformer,NT,test_mAP_macro,channel_inversion,1,0.2290624976158142
20241028_142345,rgb_bigearthnet,cait,transformer,NT,test_mAP_macro,channel_shuffle,2,0.3593541085720062
20241028_143900,caltech,deit,transformer,NT,test_accuracy_macro,channel_inversion,2,0.03513156995177269
20241028_111043,deepglobe,densenet,cnn,NT,test_mAP_macro,channel_inversion,6,0.24846410751342773
20241028_165827,caltech_120,pvt,transformer,NT,test_accuracy_macro,gaussian,0.5,0.6625099182128906
20241028_153800,caltech_120,resnet,cnn,NT,test_accuracy_macro,gaussian,0.5,0.6553824543952942
20241028_153346,imagenet,vit,transformer,PT,test_accuracy_macro,gaussian,5.0,0.12667708098888397
20241028_143357,caltech,deit,transformer,NT,test_accuracy_macro,bilateral,9,0.5190872550010681
20241028_135828,imagenet,xception,cnn,PT,test_accuracy_macro,bilateral,31,0.22140127420425415
20241009_102846,caltech_120,mobilenet,cnn,ST,test_accuracy_macro,,,0.4163881242275238
20241028_125408,deepglobe,beit,transformer,NT,test_mAP_macro,gaussian,0.0,0.580935001373291
20241028_121104,deepglobe,deit,transformer,NT,test_mAP_macro,bilateral,31,0.23315906524658203
20241028_131520,deepglobe,convmixer,transformer,NT,test_mAP_macro,greyscale,0,0.6702415347099304
20241028_135349,caltech,resnext,cnn,NT,test_accuracy_macro,bilateral,0,0.6439100503921509
20241028_111724,deepglobe,resnext,cnn,NT,test_mAP_macro,patch_shuffle,11,0.5919355154037476
20241028_123218,imagenet,densenet,cnn,PT,test_accuracy_macro,gaussian,2.0,0.6088708639144897
20241028_105323,deepglobe,regnet,cnn,NT,test_mAP_macro,gaussian,0.5,0.6580777764320374
20241028_132126,bigearthnet,regnety,cnn,NT,test_mAP_macro,patch_shuffle,15,0.5534995198249817
20241028_141740,rgb_bigearthnet,cait,transformer,NT,test_mAP_macro,sobel,0,0.5868780612945557
